Estado,Cantidad de Sismos
BC,45
BCS,97
CHIH,2
CHIS,178
COL,26
GRO,112
HGO,1
JAL,90
MICH,33
NAY,5
OAX,142
QR,5
SIN,47
SON,30
VER,5
