Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
6.7,26.5,-110.0,33.0,revisado,1932-07-12 13:24:10,1932-07-12 19:24:10,SON,51,SUROESTE,HUATABAMPO
6.9,18.9,-103.9,33.0,revisado,1932-07-25 03:12:46,1932-07-25 09:12:46,COL,7,SUROESTE,TECOMAN
6.8,19.0,-104.0,33.0,revisado,1932-12-07 10:22:09,1932-12-07 16:22:09,COL,8,NOROESTE,CD DE ARMERIA
6.6,19.5,-105.0,33.0,revisado,1933-04-08 21:58:17,1933-04-09 03:58:17,JAL,54,NOROESTE,CIHUATLAN
6.9,17.5,-101.0,33.0,revisado,1933-05-08 04:33:40,1933-05-08 10:33:40,GRO,29,ESTE,PETATLAN
6.8,17.0,-100.0,33.0,revisado,1934-01-28 13:10:03,1934-01-28 19:10:03,GRO,9,ESTE,COYUCA DE BENITEZ
7.0,19.0,-105.3,33.0,revisado,1934-11-29 20:05:16,1934-11-30 02:05:16,JAL,83,SUROESTE,CIHUATLAN
7.1,32.0,-114.8,33.0,revisado,1934-12-31 12:45:45,1934-12-31 18:45:45,BC,46,SURESTE,GPE VICTORIA(KM.43)
6.9,18.8,-103.5,33.0,revisado,1935-06-29 00:48:54,1935-06-29 06:48:54,MICH,36,OESTE,COALCOMAN
7.3,14.8,-92.5,33.0,revisado,1935-12-14 16:05:17,1935-12-14 22:05:17,CHIS,31,SUROESTE,TAPACHULA
7.4,17.1,-98.1,33.0,revisado,1937-12-23 07:17:58,1937-12-23 13:17:58,OAX,46,SUROESTE,H TLAXIACO
6.5,15.7,-97.8,33.0,revisado,1937-12-25 00:03:25,1937-12-25 06:03:25,OAX,54,SUROESTE,RIO GRANDE
6.7,29.5,-113.5,33.0,revisado,1939-05-02 07:14:47,1939-05-02 13:14:47,BCS,179,NORESTE,GUERRERO NEGRO
6.7,14.5,-91.5,33.0,revisado,1939-12-05 02:30:07,1939-12-05 08:30:07,CHIS,73,SURESTE,CD HIDALGO
7.1,32.7,-115.5,33.0,revisado,1940-05-18 22:36:41,1940-05-19 04:36:41,BC,5,NOROESTE,MEXICALI
