Estado,Cantidad de sismos
BC,61
BCS,148
CHIH,2
CHIS,624
COL,36
GRO,255
HGO,1
JAL,129
MEX,1
MICH,90
NAY,8
OAX,332
PUE,12
QR,8
SIN,66
SLP,1
SON,39
VER,28
