Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
4.0,16.1,-97.7,2.5,verificado,2025-02-11 14:33:49,2025-02-11 20:33:49,OAX,28,NOROESTE,RIO GRANDE
3.7,17.1,-94.7,121.8,verificado,2025-02-11 03:28:06,2025-02-11 09:28:06,OAX,43,NORESTE,MATIAS ROMERO
3.5,17.2,-95.0,137.5,verificado,2025-02-11 02:20:40,2025-02-11 08:20:40,OAX,39,NORTE,MATIAS ROMERO
3.1,16.3,-97.9,5.0,verificado,2025-02-11 02:01:30,2025-02-11 08:01:30,OAX,14,SURESTE,PINOTEPA NACIONAL
3.3,16.7,-96.2,76.9,verificado,2025-02-11 01:51:28,2025-02-11 07:51:28,OAX,43,SURESTE,TLACOLULA
3.6,15.5,-94.6,17.3,verificado,2025-02-11 01:06:06,2025-02-11 07:06:06,OAX,103,SURESTE,SALINA CRUZ
3.8,15.8,-95.8,7.7,verificado,2025-02-11 00:53:48,2025-02-11 06:53:48,OAX,36,ESTE,CRUCECITA
3.1,16.3,-97.8,2.0,verificado,2025-02-11 00:15:18,2025-02-11 06:15:18,OAX,29,ESTE,PINOTEPA NACIONAL
2.6,16.3,-97.9,5.0,verificado,2025-02-11 00:14:45,2025-02-11 06:14:45,OAX,14,SURESTE,PINOTEPA NACIONAL
2.9,16.6,-96.4,32.1,verificado,2025-02-10 23:30:10,2025-02-11 05:30:10,OAX,30,SURESTE,OCOTLAN DE MORELOS
