Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
4.8,15.4,-99.9,5.0,revisado,1982-06-08 02:04:27,1982-06-08 08:04:27,GRO,163,SUR,ACAPULCO
3.8,15.4,-99.9,5.0,revisado,1982-06-08 02:24:09,1982-06-08 08:24:09,GRO,163,SUR,ACAPULCO
3.9,16.4,-98.4,33.0,revisado,1982-06-20 01:29:12,1982-06-20 07:29:12,GRO,34,SUR,OMETEPEC
4.7,17.1,-102.3,16.0,revisado,1985-09-19 21:34:48,1985-09-20 03:34:48,MICH,90,SUR,CD LAZARO CARDENAS
4.5,17.2,-102.2,33.0,revisado,1985-09-19 21:42:30,1985-09-20 03:42:30,MICH,81,SUR,CD LAZARO CARDENAS
4.3,17.3,-102.5,33.0,revisado,1985-09-20 01:38:15,1985-09-20 07:38:15,MICH,78,SUROESTE,CD LAZARO CARDENAS
3.8,17.3,-102.2,33.0,revisado,1985-09-20 02:14:48,1985-09-20 08:14:48,MICH,68,SUR,CD LAZARO CARDENAS
4.9,14.8,-97.9,16.0,revisado,1985-09-20 03:02:25,1985-09-20 09:02:25,OAX,147,SUROESTE,RIO GRANDE
3.9,17.5,-102.5,9.0,revisado,1985-09-20 03:51:45,1985-09-20 09:51:45,MICH,54,SUROESTE,CD LAZARO CARDENAS
3.9,18.0,-102.3,9.0,revisado,1985-09-20 04:54:58,1985-09-20 10:54:58,MICH,3,SURESTE,LA MIRA
4.0,17.0,-102.0,33.0,revisado,1985-09-20 05:57:24,1985-09-20 11:57:24,GRO,90,SUROESTE,ZIHUATANEJO
4.0,17.4,-101.9,16.0,revisado,1985-09-20 06:57:49,1985-09-20 12:57:49,GRO,46,SUROESTE,ZIHUATANEJO
3.6,17.7,-102.3,33.0,revisado,1985-09-20 07:19:12,1985-09-20 13:19:12,MICH,26,SUR,CD LAZARO CARDENAS
4.2,17.4,-102.3,5.0,revisado,1985-09-20 13:22:00,1985-09-20 19:22:00,MICH,58,SUR,CD LAZARO CARDENAS
4.9,17.8,-102.4,33.0,revisado,1985-09-20 13:30:02,1985-09-20 19:30:02,MICH,23,SUROESTE,CD LAZARO CARDENAS
3.8,17.8,-101.6,33.0,revisado,1985-09-20 14:03:41,1985-09-20 20:03:41,GRO,22,NOROESTE,ZIHUATANEJO
4.3,17.1,-102.3,5.0,revisado,1985-09-22 01:48:51,1985-09-22 07:48:51,MICH,100,SUR,CD LAZARO CARDENAS
4.1,17.9,-102.5,16.0,revisado,1985-09-22 15:16:48,1985-09-22 21:16:48,MICH,19,SUROESTE,LA MIRA
4.6,14.2,-93.0,10.0,revisado,1993-09-10 18:00:11,1993-09-11 00:00:11,CHIS,110,SUROESTE,CD HIDALGO
4.8,14.0,-92.8,18.0,revisado,1993-09-10 18:30:48,1993-09-11 00:30:48,CHIS,106,SUROESTE,CD HIDALGO
5.0,13.9,-93.1,6.0,revisado,1993-09-10 19:24:55,1993-09-11 01:24:55,CHIS,132,SUROESTE,CD HIDALGO
4.2,14.4,-92.2,33.0,revisado,1993-09-10 20:24:15,1993-09-11 02:24:15,CHIS,30,SUR,CD HIDALGO
4.1,14.2,-92.9,15.0,revisado,1993-09-10 20:52:38,1993-09-11 02:52:38,CHIS,102,SUROESTE,CD HIDALGO
4.2,14.9,-92.5,33.0,revisado,1993-09-10 21:10:55,1993-09-11 03:10:55,CHIS,30,SUROESTE,HUIXTLA
4.9,13.8,-92.8,20.0,revisado,1993-09-10 21:27:40,1993-09-11 03:27:40,CHIS,121,SUROESTE,CD HIDALGO
4.6,13.9,-93.0,10.0,revisado,1993-09-10 22:10:11,1993-09-11 04:10:11,CHIS,122,SUROESTE,CD HIDALGO
4.7,14.2,-92.3,144.0,revisado,1993-09-10 22:24:57,1993-09-11 04:24:57,CHIS,54,SUR,CD HIDALGO
5.0,14.0,-93.1,7.0,revisado,1993-09-10 23:04:40,1993-09-11 05:04:40,CHIS,126,SUROESTE,CD HIDALGO
5.2,14.0,-93.0,7.0,revisado,1993-09-10 23:23:19,1993-09-11 05:23:19,CHIS,115,SUROESTE,CD HIDALGO
2.8,32.3,-115.4,6.0,revisado,1993-09-10 23:44:22,1993-09-11 05:44:22,BC,25,OESTE,GPE VICTORIA(KM.43)
4.5,14.0,-93.0,7.0,revisado,1993-09-11 03:17:21,1993-09-11 09:17:21,CHIS,118,SUROESTE,CD HIDALGO
4.6,14.1,-92.8,17.0,revisado,1993-09-11 03:32:35,1993-09-11 09:32:35,CHIS,97,SUROESTE,CD HIDALGO
2.9,17.0,-99.8,20.0,revisado,1993-09-11 07:54:28,1993-09-11 13:54:28,GRO,19,NORESTE,ACAPULCO
4.4,14.1,-92.8,6.0,revisado,1993-09-11 09:18:04,1993-09-11 15:18:04,CHIS,97,SUROESTE,CD HIDALGO
4.4,14.2,-92.1,63.0,revisado,1993-09-11 12:43:07,1993-09-11 18:43:07,CHIS,56,SUR,CD HIDALGO
5.5,14.3,-92.7,22.0,revisado,1993-09-11 13:29:48,1993-09-11 19:29:48,CHIS,71,SUROESTE,CD HIDALGO
3.0,16.9,-100.3,12.0,revisado,1993-09-11 13:40:10,1993-09-11 19:40:10,GRO,22,SUROESTE,COYUCA DE BENITEZ
4.3,13.8,-92.0,20.0,revisado,1993-09-11 14:55:39,1993-09-11 20:55:39,CHIS,103,SUR,CD HIDALGO
3.3,17.7,-101.3,79.0,revisado,1993-09-11 14:58:53,1993-09-11 20:58:53,GRO,22,NOROESTE,PETATLAN
4.5,14.2,-93.1,20.0,revisado,1993-09-11 17:05:40,1993-09-11 23:05:40,CHIS,118,SUROESTE,CD HIDALGO
4.1,16.1,-99.3,14.0,revisado,1995-09-14 18:20:06,1995-09-15 00:20:06,GRO,77,SUR,SAN MARCOS
3.9,15.7,-99.2,15.0,revisado,1995-09-14 18:49:18,1995-09-15 00:49:18,GRO,126,SUR,SAN MARCOS
4.1,15.7,-99.4,7.0,revisado,1995-09-14 19:10:29,1995-09-15 01:10:29,GRO,119,SUR,SAN MARCOS
3.7,16.1,-99.1,6.0,revisado,1995-09-14 20:12:36,1995-09-15 02:12:36,GRO,88,SURESTE,SAN MARCOS
4.0,15.9,-98.4,33.0,revisado,1995-09-14 23:35:15,1995-09-15 05:35:15,OAX,63,SUROESTE,PINOTEPA NACIONAL
4.0,15.8,-99.0,15.0,revisado,1995-09-15 00:39:28,1995-09-15 06:39:28,GRO,121,SURESTE,SAN MARCOS
3.5,16.0,-99.3,20.0,revisado,1995-09-15 03:08:00,1995-09-15 09:08:00,GRO,89,SUR,SAN MARCOS
3.9,15.6,-99.1,35.0,revisado,1995-09-15 13:15:59,1995-09-15 19:15:59,OAX,133,SUROESTE,PINOTEPA NACIONAL
4.2,16.4,-99.7,43.0,revisado,1995-09-15 15:08:18,1995-09-15 21:08:18,GRO,54,SUROESTE,SAN MARCOS
4.4,18.9,-104.7,17.0,revisado,1995-10-09 18:01:21,1995-10-10 00:01:21,JAL,46,SUROESTE,CIHUATLAN
5.1,18.6,-104.6,9.0,revisado,1995-10-09 18:06:14,1995-10-10 00:06:14,COL,54,SUROESTE,MANZANILLO
4.5,18.6,-104.6,3.0,revisado,1995-10-09 18:32:10,1995-10-10 00:32:10,COL,60,SUROESTE,MANZANILLO
4.5,18.3,-104.4,17.0,revisado,1995-10-09 19:14:02,1995-10-10 01:14:02,COL,83,SUROESTE,CD DE ARMERIA
4.5,18.7,-104.3,12.0,revisado,1995-10-09 19:24:11,1995-10-10 01:24:11,COL,39,SUR,MANZANILLO
4.6,18.2,-104.7,55.0,revisado,1995-10-09 19:49:02,1995-10-10 01:49:02,COL,103,SUROESTE,MANZANILLO
4.7,19.6,-105.4,60.0,revisado,1995-10-09 20:29:12,1995-10-10 02:29:12,JAL,93,NOROESTE,CIHUATLAN
4.6,19.2,-104.4,6.0,revisado,1995-10-09 20:45:58,1995-10-10 02:45:58,COL,15,NOROESTE,MANZANILLO
4.7,18.8,-104.4,5.0,revisado,1995-10-09 21:02:24,1995-10-10 03:02:24,COL,24,SUR,MANZANILLO
4.7,18.6,-104.2,5.0,revisado,1995-10-09 22:18:08,1995-10-10 04:18:08,COL,45,SUROESTE,CD DE ARMERIA
4.2,19.6,-105.3,5.0,revisado,1995-10-10 03:17:25,1995-10-10 09:17:25,JAL,84,NOROESTE,CIHUATLAN
4.3,19.0,-103.8,11.0,revisado,1995-10-10 03:45:30,1995-10-10 09:45:30,COL,8,NORESTE,TECOMAN
4.4,19.2,-104.5,7.0,revisado,1995-10-10 04:52:20,1995-10-10 10:52:20,JAL,5,ESTE,CIHUATLAN
4.7,18.6,-104.4,5.0,revisado,1995-10-10 05:44:48,1995-10-10 11:44:48,COL,51,SUR,MANZANILLO
4.7,18.3,-104.3,11.0,revisado,1995-10-10 10:13:53,1995-10-10 16:13:53,COL,75,SUROESTE,CD DE ARMERIA
4.5,15.8,-99.0,5.0,revisado,1995-10-10 11:59:51,1995-10-10 17:59:51,GRO,120,SURESTE,SAN MARCOS
4.4,18.9,-105.1,14.0,revisado,1995-10-10 12:38:06,1995-10-10 18:38:06,JAL,67,SUROESTE,CIHUATLAN
4.0,16.2,-98.0,23.0,revisado,1996-02-25 18:27:20,1996-02-26 00:27:20,OAX,23,SURESTE,PINOTEPA NACIONAL
5.7,15.8,-97.9,14.0,revisado,1996-02-25 19:37:32,1996-02-26 01:37:32,OAX,58,SUROESTE,RIO GRANDE
4.4,15.5,-97.8,5.0,revisado,1996-02-25 19:56:05,1996-02-26 01:56:05,OAX,65,SUROESTE,RIO GRANDE
4.4,15.6,-98.0,2.0,revisado,1996-02-25 20:32:09,1996-02-26 02:32:09,OAX,73,SUROESTE,RIO GRANDE
4.0,16.1,-98.1,11.0,revisado,1996-02-25 20:48:21,1996-02-26 02:48:21,OAX,31,SUR,PINOTEPA NACIONAL
3.8,16.1,-97.9,14.0,revisado,1996-02-25 21:02:04,1996-02-26 03:02:04,OAX,33,SURESTE,PINOTEPA NACIONAL
4.2,15.6,-98.0,17.0,revisado,1996-02-25 22:00:44,1996-02-26 04:00:44,OAX,79,SUROESTE,RIO GRANDE
4.2,15.6,-97.9,14.0,revisado,1996-02-25 23:51:14,1996-02-26 05:51:14,OAX,63,SUROESTE,RIO GRANDE
4.4,15.5,-97.8,18.0,revisado,1996-02-26 00:10:33,1996-02-26 06:10:33,OAX,68,SUROESTE,RIO GRANDE
5.0,15.4,-97.9,7.0,revisado,1996-02-26 01:33:33,1996-02-26 07:33:33,OAX,86,SUROESTE,RIO GRANDE
4.0,15.2,-98.1,10.0,revisado,1996-02-26 01:54:48,1996-02-26 07:54:48,OAX,118,SUROESTE,RIO GRANDE
4.8,15.8,-98.0,5.0,revisado,1996-02-26 06:00:28,1996-02-26 12:00:28,OAX,61,SUR,PINOTEPA NACIONAL
4.3,15.5,-98.0,15.0,revisado,1996-02-26 06:06:13,1996-02-26 12:06:13,OAX,81,SUROESTE,RIO GRANDE
4.8,16.0,-98.1,7.0,revisado,1996-02-26 06:56:58,1996-02-26 12:56:58,OAX,35,SUR,PINOTEPA NACIONAL
4.5,16.0,-98.0,25.0,revisado,1996-02-26 08:50:39,1996-02-26 14:50:39,OAX,35,SUR,PINOTEPA NACIONAL
4.4,15.9,-98.1,19.0,revisado,1996-02-26 09:19:45,1996-02-26 15:19:45,OAX,48,SUR,PINOTEPA NACIONAL
4.6,15.3,-98.3,5.0,revisado,1996-02-26 16:01:13,1996-02-26 22:01:13,OAX,122,SUR,PINOTEPA NACIONAL
4.9,15.5,-98.5,5.0,revisado,1996-02-26 16:02:22,1996-02-26 22:02:22,OAX,109,SUROESTE,PINOTEPA NACIONAL
4.6,17.9,-102.9,25.0,revisado,1997-01-11 18:10:28,1997-01-12 00:10:28,MICH,66,OESTE,LA MIRA
4.9,17.9,-102.5,14.0,revisado,1997-01-11 19:28:28,1997-01-12 01:28:28,MICH,25,SUROESTE,LA MIRA
4.3,18.0,-102.6,8.0,revisado,1997-01-11 20:20:09,1997-01-12 02:20:09,MICH,30,OESTE,LA MIRA
3.2,16.9,-100.2,5.0,revisado,1997-01-11 22:53:51,1997-01-12 04:53:51,GRO,16,SUROESTE,COYUCA DE BENITEZ
5.0,23.9,-108.3,24.0,revisado,1997-01-12 09:02:18,1997-01-12 15:02:18,SIN,110,SUROESTE,ELDORADO
3.8,18.2,-97.6,68.0,revisado,1999-06-15 20:56:44,1999-06-16 01:56:44,PUE,30,SUROESTE,S GABRIEL CHILAC
3.8,18.2,-97.6,41.0,revisado,1999-06-15 22:59:07,1999-06-16 03:59:07,PUE,32,SUROESTE,S GABRIEL CHILAC
3.8,18.3,-97.6,60.0,revisado,1999-06-16 08:27:22,1999-06-16 13:27:22,PUE,25,SUROESTE,S GABRIEL CHILAC
